Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivityTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
materialistic-3.3,io.github.hidroh.materialistic,TestActivityModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,TestActivityModule,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 45 public methods
materialistic-3.3,io.github.hidroh.materialistic,TestApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: applicationGraph
materialistic-3.3,io.github.hidroh.materialistic,UserActivityTest,Feature Envy,The tool detected a instance of this smell because testVolumeNavigation is more interested in members of the type: UserActivity
materialistic-3.3,io.github.hidroh.materialistic,UserActivityTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
materialistic-3.3,io.github.hidroh.materialistic,ItemActivityTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 68 public methods
materialistic-3.3,io.github.hidroh.materialistic,ThreadPreviewActivityTest,Feature Envy,The tool detected a instance of this smell because testVolumeNavigation is more interested in members of the type: ThreadPreviewActivity
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegateTest,Feature Envy,The tool detected a instance of this smell because testInterceptBack is more interested in members of the type: KeyDelegate
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegateTest,Feature Envy,The tool detected a instance of this smell because testNoBinding is more interested in members of the type: KeyDelegate
materialistic-3.3,io.github.hidroh.materialistic,PreferencesActivityTest.TestPreferencesActivity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: recreated
materialistic-3.3,io.github.hidroh.materialistic,PreferencesActivityTest.TestPreferencesActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.RecyclerViewHelper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: SCROLL_ITEM; SCROLL_PAGE; mRecyclerView; mScrollMode; mSmoothScroll
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.RecyclerViewHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.RecyclerViewHelper,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: SCROLL_ITEM; SCROLL_PAGE; mRecyclerView; mScrollMode; mSmoothScroll
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.NestedScrollViewHelper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mScrollView
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.NestedScrollViewHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,KeyDelegate.BackInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,UserActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_USERNAME; STATE_USER; PARAM_ID; KARMA; mUserManager; mItemManger; mKeyDelegate; mScrollableHelper; mUsername; mUser; mTitle; mInfo; mAbout; mRecyclerView; mTabLayout; mEmpty; mBottomSheetBehavior; mUserActivity
materialistic-3.3,io.github.hidroh.materialistic,UserActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InjectableActivity; Scrollable
materialistic-3.3,io.github.hidroh.materialistic,UserActivity,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: onCreate
materialistic-3.3,io.github.hidroh.materialistic,UserActivity.UserResponseListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mUserActivity
materialistic-3.3,io.github.hidroh.materialistic,UserActivity.UserResponseListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_PARENT_ID; EXTRA_PARENT_TEXT; HN_FORMAT_DOC_URL; FORMAT_QUOTE; PARAGRAPH_QUOTE; PARAGRAPH_BREAK_REGEX; mUserServices; mAlertDialogBuilder; mEditText; mParentText; mQuoteText; mParentId; mSending; mComposeActivity; mAppContext; mParentId
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HackerNewsItem; HackerNewsClient; DataModule; AlgoliaClient; FeedbackClient; ReadabilityClient; AppUtils; TextView; Application; OfflineWebActivity; ComposeActivity; WebFragment; ItemActivity; NavFloatingActionButton; ItemPagerAdapter; ItemFragment; SinglePageItemRecyclerViewAdapter; ToggleItemViewHolder; ItemRecyclerViewAdapter; CommentItemDecoration
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity.ComposeCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mComposeActivity; mAppContext; mParentId
materialistic-3.3,io.github.hidroh.materialistic,ComposeActivity.ComposeCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
materialistic-3.3,io.github.hidroh.materialistic,Preferences.SwipeAction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,Preferences.SwipeAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.StoryViewMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,Preferences.StoryViewMode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.BoolToStringPref,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: oldKey; oldDefault; newKey; newValue
materialistic-3.3,io.github.hidroh.materialistic,Preferences.BoolToStringPref,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Theme,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Theme,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Offline,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Offline,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: CONTEXT_KEYS; mSubscribedKeys; mListener; mObserver
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,Preferences.Observer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,OfflineWebActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InjectableActivity
materialistic-3.3,io.github.hidroh.materialistic,FavoriteActivity,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: FavoriteFragment; FavoriteActivity
materialistic-3.3,io.github.hidroh.materialistic,LazyLoadFragment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_EAGER_LOAD; EXTRA_RETAIN_INSTANCE; STATE_EAGER_LOAD; STATE_LOADED; mEagerLoad; mLoaded; mActivityCreated; mNewInstance
materialistic-3.3,io.github.hidroh.materialistic,Application,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TYPE_FACE; mRefWatcher; mApplicationGraph
materialistic-3.3,io.github.hidroh.materialistic,WebFragment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_ITEM; STATE_EMPTY; STATE_READABILITY; ACTION_FULLSCREEN; EXTRA_FULLSCREEN; STATE_FULLSCREEN; STATE_CONTENT; DEFAULT_PROGRESS; PDF_LOADER_URL; PDF_MIME_TYPE; mWebView; mScrollView; mExternalRequired; mItemManager; mPopupMenu; mScrollableHelper; mPreferenceObservable; mReceiver; mFullscreenView; mScrollViewContent; mButtonRefresh; mControls; mEditText; mButtonMore; mButtonNext; mProgressBar; mFullscreen; mIsPdf; mContent; mSystemUiHelper; mFragmentView; mReadabilityClient; mFileDownloader; mItem; mIsHackerNewsUrl; mEmpty; mReadability; mPdfAndroidJavascriptBridge; mReadabilityFragment; mFragment; mFile; mRandomAccessFile; mCallback; mHandler
materialistic-3.3,io.github.hidroh.materialistic,WebFragment,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): LazyLoadFragment; Scrollable; KeyDelegate
materialistic-3.3,io.github.hidroh.materialistic,WebFragment,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.ReadabilityCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mReadabilityFragment
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.ReadabilityCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.ItemResponseListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mFragment
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.ItemResponseListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.PdfAndroidJavascriptBridge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mFile; mRandomAccessFile; mCallback; mHandler
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.PdfAndroidJavascriptBridge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,WebFragment.Callbacks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,LauncherActivity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,ThreadPreviewActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_ITEM; mItemManager; mKeyDelegate
materialistic-3.3,io.github.hidroh.materialistic,ThreadPreviewActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InjectableActivity
materialistic-3.3,io.github.hidroh.materialistic,AppUtils,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ABBR_YEAR; ABBR_WEEK; ABBR_DAY; ABBR_HOUR; ABBR_MINUTE; PLAY_STORE_URL; FORMAT_HTML_COLOR; HOT_THRESHOLD_HIGH; HOT_THRESHOLD_NORMAL; HOT_THRESHOLD_LOW; HOT_FACTOR; HOST_ITEM; HOST_USER; selection; window; originalUiFlags; enabled
materialistic-3.3,io.github.hidroh.materialistic,AppUtils,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
materialistic-3.3,io.github.hidroh.materialistic,AppUtils.SystemUiHelper,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: window; originalUiFlags; enabled
materialistic-3.3,io.github.hidroh.materialistic,AppUtils.SystemUiHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,BaseStoriesActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseListActivity; ListFragment
materialistic-3.3,io.github.hidroh.materialistic,AccountAuthenticatorActivity,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InjectableActivity
materialistic-3.3,io.github.hidroh.materialistic,NewActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_REFRESH
materialistic-3.3,io.github.hidroh.materialistic,ItemActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_ITEM; EXTRA_CACHE_MODE; EXTRA_OPEN_COMMENTS; PARAM_ID; STATE_ITEM; STATE_ITEM_ID; STATE_FULLSCREEN; mItem; mItemId; mBookmark; mExternalBrowser; mStoryViewMode; mItemManager; mFavoriteManager; mAlertDialogBuilder; mPopupMenu; mUserServices; mSessionManager; mCustomTabsDelegate; mKeyDelegate; mTabLayout; mAppBar; mCoordinatorLayout; mVoteButton; mReplyButton; mNavButton; mAdapter; mViewPager; mFullscreen; mObserver; mReceiver; mPreferenceObservable; mSystemUiHelper; mUndo; mItemActivity; mItemActivity
materialistic-3.3,io.github.hidroh.materialistic,ItemActivity.ItemResponseListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mItemActivity
materialistic-3.3,io.github.hidroh.materialistic,ItemActivity.ItemResponseListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,ItemActivity.VoteCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mItemActivity
materialistic-3.3,io.github.hidroh.materialistic,ItemActivity.VoteCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,BaseListActivity,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 31 methods
materialistic-3.3,io.github.hidroh.materialistic,PopupSettingsFragment.PreferenceFragment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,PopupSettingsFragment.PreferenceFragment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,PopupSettingsFragment.BottomSheetDialog,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,PopupSettingsFragment.BottomSheetDialog,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,DataModule,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MAIN_THREAD; IO_THREAD
materialistic-3.3,io.github.hidroh.materialistic,SubmitActivity.SubmitCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mSubmitActivity
materialistic-3.3,io.github.hidroh.materialistic,SubmitActivity.SubmitCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,FavoriteFragment,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_FILTER; STATE_FILTER; STATE_SEARCH_VIEW_EXPANDED; mAdapter; mActionMode; mFilter; mSearchViewExpanded; mFavoriteManager; mActionViewResolver; mAlertDialogBuilder; mEmptySearchView; mEmptyView
materialistic-3.3,io.github.hidroh.materialistic,CustomTabsDelegate.ServiceConnection,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mDelegate
materialistic-3.3,io.github.hidroh.materialistic,CustomTabsDelegate.ServiceConnection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,DrawerActivity,Cyclic Hierarchy,The tool detected the smell in this class because the class depends on one of its subclasses (creating cycle in the hierarchy). The class is dependent on the following subclass: SettingsActivity
materialistic-3.3,io.github.hidroh.materialistic,LoginActivity,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EXTRA_ADD_ACCOUNT; mUserServices; mAccountManager; mLoginButton; mRegisterButton; mUsernameLayout; mPasswordLayout; mUsernameEditText; mPasswordEditText; mUsername; mPassword; mLoginActivity
materialistic-3.3,io.github.hidroh.materialistic,LoginActivity.LoginCallback,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mLoginActivity
materialistic-3.3,io.github.hidroh.materialistic,LoginActivity.LoginCallback,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,NetworkModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,NetworkModule.ConnectionAwareInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: CACHE_ENABLED_HOSTS; mContext
materialistic-3.3,io.github.hidroh.materialistic,NetworkModule.ConnectionAwareInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
materialistic-3.3,io.github.hidroh.materialistic,NetworkModule.CacheOverrideNetworkInterceptor,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
materialistic-3.3,io.github.hidroh.materialistic,NetworkModule.CacheOverrideNetworkInterceptor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
