Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
freemind-1.0.0,freemind.preferences.layout,OptionPanel,OptionPanel,Long Statement,The length of the statement "WindowConfigurationStorage storage=XmlBindingTools.getInstance().decorateDialog(fm.getController()`frame`PREFERENCE_STORAGE_PROPERTY);" is 134.,113
freemind-1.0.0,freemind.preferences.layout,OptionPanel,buildPanel,Magic Number,The method contains a magic number: 100,173
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Identifier,The length of the identifier RESOURCE_USE_COMMON_OUT_POINT_FOR_ROOT_NODE is 43.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Method,The method has 318 lines of code.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new ComboProperty("language.tooltip"`FreeMindCommon.RESOURCE_LANGUAGE`new String[]{"automatic"`"ar"`"bg"`"cs"`"de"`"dk"`"en"`"el"`"es"`"et"`"eu"`"fr"`"gl"`"hr"`"hu"`"id"`"it"`"ja"`"ko"`"lt"`"nl"`"nn"`"nb"`"pl"`"pt_BR"`"pt_PT"`"ro"`"ru"`"sk"`"se"`"sl"`"sr"`"tr"`"uk_UA"`"vi"`"zh_TW"`"zh_CN"}`new TextTranslator(){" is 325.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new BooleanProperty(FreeMindCommon.LOAD_LAST_MAPS_AND_LAYOUT + TOOLTIP_EXT`FreeMindCommon.LOAD_LAST_MAPS_AND_LAYOUT));" is 131.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new StringProperty("number_of_different_files_for_automatic_save.tooltip"`"number_of_different_files_for_automatic_save"));" is 136.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new BooleanProperty("save_only_intrisically_needed_ids.tooltip"`FreeMindCommon.SAVE_ONLY_INTRISICALLY_NEEDED_IDS));" is 128.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new ComboProperty("standardrootnodestyle.tooltip"`FreeMind.RESOURCES_ROOT_NODE_STYLE`new String[]{MindMapNode.STYLE_FORK`MindMapNode.STYLE_BUBBLE`MindMapNode.STYLE_COMBINED}`this));" is 194.,438
freemind-1.0.0,freemind.preferences.layout,OptionPanel,getControls,Long Statement,The length of the statement "controls.add(new ColorProperty("standardnodetextcolor.tooltip"`FreeMind.RESOURCES_NODE_TEXT_COLOR`fmMain.getDefaultProperty(FreeMind.RESOURCES_NODE_TEXT_COLOR)`this));" is 167.,438
